Category,Operation,Time/s
PI,Conformal PI,0.0031006545135654883
PI,Conditional PI,0.0321073797014024
PI,KNN PI,0.22687013376326784
PI,Copula PI,0.2397210037007051
PI,Weighted PI,0.6495347713169298
Predicting,Predicting with DER,0.007817298173904376
Predicting,Predicting with Decoder + Predictor,0.012669235467910725
Predicting,Predicting with GPR,0.031275868415832464
Predicting,Predicting with Infer-Noise,0.03794673085212703
Predicting,Predicting with MC Dropout,0.07607642809549962
Predicting,Predicting with BNN,37.93771036465963
Training,Training Encoder and Predictor,14.934191644191742
Training,Training Decoder,67.25412072738011
Training,Training GPR,69.50765701134999
Training,Training DER,167.72860993941626
Training,Training BNN,2284.4440691272416
